# Data VRPwTW

set NODE :=	MoscowDepot	NNovgorod_METROn	NNovgorod_METROm	NNovgorod_ASHANb	Kazan_ASHANy	Kazan_Zelgros	Kazan_ASHANp	NaberezhnyeChelny_LENTA;
set VEHICLES:= 1;

param L:= 2;
param travel_cost = 75;
param waiting_cost = 31;
param working_limit = 8;


param service_available:
			1	2	3	4	5	6	7	8	9	10	11	12	13:=
MoscowDepot		1	1	1	1	1	1	1	1	1	1	1	1	1
NNovgorod_METROn	1	0	1	0	1	0	0	1	0	1	1	1	0
NNovgorod_METROm	1	0	1	0	1	0	0	1	0	1	0	1	0
NNovgorod_ASHANb	1	1	1	1	1	0	0	1	1	1	1	1	0
Kazan_ASHANy		1	1	1	1	1	0	0	1	1	1	1	1	0
Kazan_Zelgros		1	1	1	1	1	0	0	1	1	1	1	1	0
Kazan_ASHANp		1	1	1	1	1	0	0	1	1	1	1	1	0
NaberezhnyeChelny_LENTA	1	1	1	1	1	0	0	1	1	1	1	1	0;

param timewind:=
[MoscowDepot,*,*]:	  1	2	3	4	5	6	7	8	9	10	11	12	13:=
	 1	0	24	48	72	96	120	144	168	192	216	240	264	288
	 2	24	48	72	96	120	144	168	192	216	240	264	288	312
[NNovgorod_METROn,*,*]:     	1	2	3	4	5	6	7	8	9	10	11	12	13:=
       			1	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2	16	40	64	88	112	136	160	184	208	232	256	280	304
[NNovgorod_METROm,*,*]:    	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[NNovgorod_ASHANb,*,*]:		1	2	3	4	5	6	7	8	9	10	11	12	13:=
         		1    	8	32	56	80	104	128	152	176	200	224	248	272	296
       			2    	14	38	62	86	110	134	158	182	206	230	254	278	302
[Kazan_ASHANy,*,*]:		1	2	3	4	5	6	7	8	9	10	11	12	13:=
			1	13	37	61	85	109	133	157	181	205	229	253	277	301
			2	20	44	68	92	116	140	164	188	212	236	260	284	308
[Kazan_Zelgros,*,*]:		1	2	3	4	5	6	7	8	9	10	11	12	13:=
			1	13	37	61	85	109	133	157	181	205	229	253	277	301
			2	20	44	68	92	116	140	164	188	212	236	260	284	308
[Kazan_ASHANp,*,*]:     	1	2	3	4	5	6	7	8	9	10	11	12	13:=
			1	13	37	61	85	109	133	157	181	205	229	253	277	301
			2	20	44	68	92	116	140	164	188	212	236	260	284	308       			
[NaberezhnyeChelny_LENTA,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13:=
			1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304;
set CUSTTIMEWINDOWS[MoscowDepot]:=              1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[NNovgorod_METROn]:=     	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[NNovgorod_METROm]:=    	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[NNovgorod_ASHANb]:=       	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Kazan_ASHANy]:=		1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Kazan_Zelgros]:=		1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Kazan_ASHANp]:=		1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[NaberezhnyeChelny_LENTA]:=  1	2	3	4	5	6	7	8	9	10	11	12	13;

param maxduration:=
1 100;

param capacity :=
1 20000;


param travel_time:
	MoscowDepot	NNovgorod_METROn	NNovgorod_METROm	NNovgorod_ASHANb	Kazan_ASHANy	Kazan_Zelgros	Kazan_ASHANp	NaberezhnyeChelny_LENTA:=
MoscowDepot		.	5.69	5.57	5.76	10.73	10.88	10.89	13.7
NNovgorod_METROn	5.79	.	0.25	0.4	5.31	5.46	5.46	8.27
NNovgorod_METROm	5.65	0.25	.	0.21	5.47	5.61	5.62	8.43
NNovgorod_ASHANb	5.88	0.44	0.25	.	5.65	5.8	5.81	8.62
Kazan_ASHANy		10.83	5.31	5.47	5.6	.	0.28	0.29	3.22
Kazan_Zelgros		11.05	5.52	5.68	5.81	0.27	.	0.13	2.97
Kazan_ASHANp		11.11	5.58	5.74	5.87	0.33	0.17	.	3.11
NaberezhnyeChelny_LENTA	13.82	8.3	8.46	8.59	3.18	3.03	3.05	.;


param:			demand	service_time:=
MoscowDepot		0	0.2
NNovgorod_METROn	65	0.2
NNovgorod_METROm	54	0.2
NNovgorod_ASHANb	238	0.2
Kazan_ASHANy		439	0.2
Kazan_Zelgros		123	0.2
Kazan_ASHANp		754	0.2
NaberezhnyeChelny_LENTA	898	0.2;
