# Data VRPwTW

set NODE :=	MoscowDepot	Kostroma_ASHAN	Kostroma_7Continent	Ivanovo_ASHAN	Ivanovo_7Continent	Ivanovo_Magnit	Ivanovo_Okey	Ufa_LENTA	Ufa_ASHAN
	Ufa_OKEYe	Ufa_OKEYk	Ufa_OKEYmj	Ufa_Magnit	Pyshma_Perekrestok	Yekaterinburg_ASHANh	Yekaterinburg_ASHANm	Perm_LENTA;
set VEHICLES:= 1;

param L:= 2;
param travel_cost = 75;
param waiting_cost = 31;
param working_limit = 8;


param service_available:
			1	2	3	4	5	6	7	8	9	10	11	12	13:=
MoscowDepot		1	1	1	1	1	1	1	1	1	1	1	1	1
Kostroma_ASHAN		1	1	1	1	1	0	0	1	1	1	1	1	1
Kostroma_7Continent	1	1	1	1	1	0	0	1	1	1	1	1	1
Ivanovo_ASHAN		1	0	1	0	1	0	0	1	0	1	0	1	0
Ivanovo_7Continent	1	1	1	1	1	0	0	1	1	1	1	1	0
Ivanovo_Magnit		1	1	1	1	1	0	0	1	1	1	1	1	0
Ivanovo_Okey		1	1	1	1	1	0	0	1	1	1	1	1	0
Ufa_LENTA		1	1	1	1	1	0	0	1	1	1	1	1	0
Ufa_ASHAN		0	1	1	1	0	0	0	0	1	1	1	0	0
Ufa_OKEYe		0	1	1	1	0	0	0	0	1	1	1	0	0
Ufa_OKEYk		0	1	1	1	0	0	0	0	1	1	1	0	0
Ufa_OKEYmj		1	1	1	1	1	0	0	1	1	1	1	1	0
Ufa_Magnit		1	1	1	1	1	0	0	1	1	1	1	1	0
Pyshma_Perekrestok	1	1	1	1	1	0	0	1	1	1	1	1	0	
Yekaterinburg_ASHANh	1	0	1	0	1	0	0	1	0	1	1	1	0
Yekaterinburg_ASHANm	1	0	1	0	1	0	0	1	0	1	0	1	0
Perm_LENTA		1	1	1	1	1	0	0	1	1	1	1	1	0;

param timewind:=
[MoscowDepot,*,*]:	  1	2	3	4	5	6	7	8	9	10	11	12	13:=
