# Data VRPwTW

set NODE :=	MoscowDepot	Kostroma_ASHAN	Ivanovo_ASHAN	Ivanovo_7Continent	Ivanovo_Magnit	Ivanovo_Okey	Perm_LENTA;

set VEHICLES:= 1;

param L:= 2;
param travel_cost = 75;
param waiting_cost = 31;
param working_limit = 8;


param service_available:
			1	2	3	4	5	6	7	8	9	10	11	12	13:=
MoscowDepot		1	1	1	1	1	1	1	1	1	1	1	1	1
Kostroma_ASHAN		1	1	1	1	1	0	0	1	1	1	1	1	1
Ivanovo_ASHAN		1	0	1	0	1	0	0	1	0	1	0	1	0
Ivanovo_7Continent	1	1	1	1	1	0	0	1	1	1	1	1	0
Ivanovo_Magnit		1	1	1	1	1	0	0	1	1	1	1	1	0
Ivanovo_Okey		1	1	1	1	1	0	0	1	1	1	1	1	0
Perm_LENTA		1	1	1	1	1	0	0	1	1	1	1	1	0;



param timewind:=
[MoscowDepot,*,*]:	  1	2	3	4	5	6	7	8	9	10	11	12	13:=
	 1	0	24	48	72	96	120	144	168	192	216	240	264	288
	 2	24	48	72	96	120	144	168	192	216	240	264	288	312
[Kostroma_ASHAN,*,*]:   1   2      3       4        5      6       7        8       9      10      11      12      13 :=
			1	7	31	55	79	103	127	151	175	199	223	247	271	295
         		2    	16 	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_ASHAN,*,*]:    	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_7Continent,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13:=
         		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
       			2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_Magnit,*,*]:     	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_Okey,*,*]:     	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Perm_LENTA,*,*]:       	1	2	3	4	5	6	7	8	9	10	11	12	13:=
             		1	10	34	58	82	106	130	154	178	202	226	250	274	298
        		2    	19	43	67	91	115	139	163	187	211	235	259	283	307;        		
        		
set CUSTTIMEWINDOWS[MoscowDepot]:=              1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Kostroma_ASHAN]:=           1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_ASHAN]:=    	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_7Continent]:=       1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_Magnit]:=		1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_Okey]:=          	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Perm_LENTA]:=       	1	2	3	4	5	6	7	8	9	10	11	12	13;

param maxduration:=
1 100;

param capacity :=
1 20000;


param travel_time:
			MoscowDepot	Kostroma_ASHAN	Ivanovo_ASHAN	Ivanovo_7Continent	Ivanovo_Magnit	Ivanovo_Okey	Perm_LENTA:=
MoscowDepot	.	4.34	4.35	4.35	4.26	4.3	18.7
Kostroma_ASHAN	4.48	.	1.67	1.68	1.6	1.57	14.42
Ivanovo_ASHAN	4.4	1.68	.	0.08	0.17	0.19	15.2
Ivanovo_7Continent	4.4	1.7	0.08	.	0.19	0.2	15.24
Ivanovo_Magnit	4.3	1.6	0.16	0.16	.	0.09	15.32
Ivanovo_Okey	4.35	1.57	0.16	0.18	0.09	.	15.32
Perm_LENTA	18.89	14.47	15.23	15.27	15.36	15.38	.;
	

param:			demand	service_time:=
MoscowDepot		0	0.2
Kostroma_ASHAN		510	0.2
Ivanovo_ASHAN		279	0.2
Ivanovo_7Continent	68	0.2
Ivanovo_Magnit		650	0.2
Ivanovo_Okey		28	0.2
Perm_LENTA		757	0.2;
