\,MoscowDepot,Kostroma_ASHAN,Kostroma_7Continent,Ivanovo_ASHAN,Ivanovo_7Continent,Ivanovo_Magnit,Ivanovo_Okey,NNovgorod_METROn,NNovgorod_METROm,NNovgorod_ASHANb,NNovgorod_LENTA,NNovgorod_ASHANm,NNovgorod_Okey,NNovgorod_Magnit,Kazan_ASHANy,Kazan_Zelgros,Kazan_ASHANp,NaberezhnyeChelny_LENTA,Ufa_LENTA,Ufa_ASHAN,Ufa_OKEYe,Ufa_OKEYk,Ufa_OKEYmj,Ufa_Magnit,Pyshma_Perekrestok,Yekaterinburg_ASHANh,Yekaterinburg_ASHANm,Perm_LENTA,MoscowDepotEND
MoscowDepot,.,4.34,4.22,4.35,4.35,4.26,4.3,5.69,5.57,5.76,5.61,5.57,5.57,5.53,10.73,10.88,10.89,13.7,17.39,17.43,17.35,17.31,17.45,17.27,25.67,23.27,23.08,18.7,1000
Kostroma_ASHAN,4.48,.,0.13,1.67,1.68,1.6,1.57,5.08,4.93,5.13,4.98,4.97,5.08,4.98,10.23,10.38,10.38,13.2,16.89,16.93,16.85,16.81,16.95,16.77,21.39,18.99,18.8,14.42,4.48
Kostroma_7Continent,4.35,0.12,.,1.54,1.56,1.48,1.44,4.95,4.81,5.01,4.86,4.84,4.95,4.86,10.09,10.24,10.25,13.06,16.75,16.79,16.71,16.67,16.81,16.64,21.45,19.05,18.86,14.47,4.35
Ivanovo_ASHAN,4.4,1.68,1.56,.,0.08,0.17,0.19,3.72,3.58,3.78,3.63,3.61,3.72,3.62,8.86,9.01,9.01,11.83,15.52,15.55,15.47,15.43,15.57,15.4,22.18,19.78,19.59,15.2,4.4
Ivanovo_7Continent,4.4,1.7,1.58,0.08,.,0.19,0.2,3.69,3.55,3.75,3.6,3.58,3.69,3.6,8.83,8.98,8.99,11.8,15.49,15.53,15.45,15.41,15.55,15.38,22.21,19.81,19.62,15.24,4.4
Ivanovo_Magnit,4.3,1.6,1.48,0.16,0.16,.,0.09,3.8,3.66,3.86,3.71,3.69,3.8,3.71,8.94,9.09,9.1,11.91,15.6,15.64,15.56,15.52,15.66,15.49,22.3,19.9,19.71,15.32,4.3
Ivanovo_Okey,4.35,1.57,1.46,0.16,0.18,0.09,.,3.81,3.67,3.87,3.72,3.71,3.82,3.72,8.96,9.11,9.11,11.92,15.62,15.65,15.57,15.53,15.67,15.5,22.29,19.89,19.71,15.32,4.35
NNovgorod_METROn,5.79,4.85,4.73,3.74,3.72,3.85,3.87,.,0.25,0.40,0.25,0.22,0.32,0.2,5.31,5.46,5.46,8.27,11.97,12,11.92,11.88,12.02,11.85,20.41,18.01,17.82,13.43,5.79
NNovgorod_METROm,5.65,4.68,4.56,3.57,3.54,3.68,3.7,0.25,.,0.21,0.06,0.07,0.32,0.19,5.47,5.61,5.62,8.43,12.12,12.16,12.08,12.04,12.18,12.01,20.57,18.16,17.98,13.59,5.65
NNovgorod_ASHANb,5.88,4.91,4.8,3.81,3.78,3.92,3.94,0.44,0.25,.,0.5,0.28,0.53,0.41,5.65,5.8,5.81,8.62,12.31,12.35,12.27,12.23,12.37,12.2,20.75,18.35,18.17,13.78,5.88
NNovgorod_LENTA,5.68,4.71,4.6,3.61,3.58,3.72,3.74,0.24,0.05,0.20,.,0.08,0.33,0.21,5.45,5.6,5.61,8.42,12.11,12.15,12.07,12.03,12.17,12,20.55,18.15,17.97,13.58,5.68
NNovgorod_ASHANm,5.6,4.66,4.55,3.56,3.53,3.67,3.68,0.19,0.09,0.65,0.5,.,0.29,0.16,5.41,5.56,5.56,8.38,12.07,12.1,12.02,11.98,12.12,11.95,20.51,18.11,17.92,13.54,5.6
NNovgorod_Okey,5.66,4.85,4.74,3.75,3.72,3.86,3.87,0.35,0.34,0.50,0.35,0.3,.,0.19,5.31,5.46,5.46,8.27,11.97,12,11.92,11.88,12.02,11.85,20.41,18.01,17.82,13.43,5.66
NNovgorod_Magnit,5.61,4.71,4.6,3.61,3.58,3.71,3.73,0.19,0.2,0.34,0.19,0.14,0.15,.,5.3,5.45,5.46,8.27,11.96,11.99,11.92,11.87,12.01,11.84,20.4,18,17.82,13.43,5.61
Kazan_ASHANy,10.83,9.98,9.86,8.87,8.84,8.98,9,5.31,5.47,5.60,5.45,5.43,5.3,5.32,.,0.28,0.29,3.22,6.91,6.95,6.87,6.83,6.97,6.8,15.48,13.08,12.89,8.51,10.83
Kazan_Zelgros,11.05,10.19,10.08,9.09,9.06,9.19,9.21,5.52,5.68,5.81,5.66,5.64,5.51,5.53,0.27,.,0.13,2.97,6.66,6.69,6.61,6.57,6.71,6.54,15.17,12.77,12.58,8.42,11.05
Kazan_ASHANp,11.11,10.25,10.13,9.14,9.11,9.25,9.27,5.58,5.74,5.87,5.72,5.7,5.57,5.59,0.33,0.17,.,3.11,6.8,6.83,6.75,6.71,6.85,6.68,15.31,12.91,12.72,8.53,11.11
NaberezhnyeChelny_LENTA,13.82,12.97,12.85,11.86,11.83,11.97,11.99,8.3,8.46,8.59,8.44,8.42,8.29,8.31,3.18,3.03,3.05,.,3.89,3.93,3.85,3.81,3.95,3.78,12.94,10.54,10.36,6.61,13.82
Ufa_LENTA,17.59,16.73,16.61,15.62,15.6,15.73,15.75,12.06,12.22,12.35,12.2,12.18,12.05,12.07,6.94,6.8,6.81,3.95,.,0.18,0.2,0.21,0.28,0.27,9.57,7.75,7.65,6.58,17.59
Ufa_ASHAN,17.67,16.81,16.7,15.71,15.68,15.82,15.83,12.14,12.3,12.43,12.28,12.27,12.14,12.15,7.03,6.88,6.89,4.04,0.21,.,0.28,0.28,0.35,0.29,9.64,7.82,7.73,6.67,17.67
Ufa_OKEYe,17.52,16.66,16.54,15.55,15.53,15.66,15.68,11.99,12.15,12.28,12.13,12.11,11.98,12,6.87,6.73,6.74,3.88,0.17,0.19,.,0.07,0.13,0.29,9.67,7.85,7.76,6.51,17.52
Ufa_OKEYk,17.47,16.62,16.5,15.51,15.48,15.62,15.64,11.95,12.11,12.24,12.09,12.07,11.94,11.96,6.83,6.68,6.7,3.84,0.21,0.23,0.06,.,0.19,0.33,9.72,7.9,7.8,6.47,17.47
Ufa_OKEYmj,17.59,16.73,16.62,15.63,15.6,15.74,15.76,12.07,12.22,12.35,12.2,12.19,12.06,12.07,6.95,6.8,6.81,3.96,0.26,0.28,0.12,0.15,.,0.38,9.61,7.79,7.69,6.59,17.59
Ufa_Magnit,17.48,16.62,16.51,15.52,15.49,15.63,15.64,11.95,12.11,12.24,12.09,12.08,11.94,11.96,6.84,6.69,6.7,3.84,0.27,0.24,0.34,0.35,0.41,.,9.8,7.98,7.88,6.47,17.48
