Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origins/destionations,MoscowDepot,Yaroslavl_LENTA1,Yaroslavl_7Continent,Yaroslavl_ATAK,Yaroslavl_ASHANn,Yaroslavl_ASHANp,Yaroslavl_LENTA,Yaroslavl_Giperglobus,Yaroslavl_Magnit,Kostroma_ASHAN,Kostroma_7Continent,Ivanovo_ASHAN,Ivanovo_7Continent,Ivanovo_Magnit,Ivanovo_Okey,NNovgorod_METROn,NNovgorod_METROm,NNovgorod_ASHANb,NNovgorod_LENTA,NNovgorod_ASHANm,NNovgorod_Okey,NNovgorod_Magnit,Tver_ATAKo,Tver_ATAKmk,Tver_Magnit,Tver_LENTA,Kazan_ASHANy,Kazan_Zelgros,Kazan_ASHANp,NaberezhnyeChelny_LENTA,Ufa_LENTA,Ufa_ASHAN,Ufa_OKEYe,Ufa_OKEYk,Ufa_OKEYmj,Ufa_Magnit,Pyshma_Perekrestok,Yekaterinburg_ASHANh,Yekaterinburg_ASHANm,Perm_LENTA,MoscowDepotEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoscowDepot,.,3.63,3.32,3.5,3.33,3.55,3.63,3.73,3.5,4.34,4.22,4.35,4.35,4.26,4.3,5.69,5.57,5.76,5.61,5.57,5.57,5.53,2.41,2.49,2.62,2.37,10.73,10.88,10.89,13.7,17.39,17.43,17.35,17.31,17.45,17.27,25.67,23.27,23.08,18.7,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_LENTA1,3.68,.,0.27,0.33,0.29,0.07,0.2,0.33,0.33,1.31,1.2,1.95,1.95,1.79,1.84,5.59,5.45,5.65,5.5,5.48,5.59,5.5,4.11,4.14,4.13,4.06,10.73,10.88,10.89,13.7,17.39,17.42,17.35,17.31,17.45,17.27,22.64,20.24,20.06,15.67,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_7Continent,3.43,0.32,.,0.19,0.04,0.24,0.32,0.42,0.2,1.11,0.99,1.7,1.7,1.54,1.59,5.34,5.2,5.40,5.25,5.23,5.34,5.24,4.15,4.19,4.18,4.11,10.48,10.63,10.63,13.45,17.14,17.17,17.09,17.05,17.19,17.02,22.44,20.04,19.85,15.46,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_ATAK,3.61,0.35,0.19,.,0.21,0.26,0.34,0.44,0.07,1.05,0.93,1.85,1.85,1.68,1.74,5.48,5.34,5.54,5.39,5.38,5.49,5.39,4.33,4.37,4.36,4.29,10.63,10.78,10.78,13.59,17.29,17.32,17.24,17.2,17.34,17.17,22.38,19.98,19.79,15.41,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_ASHANn,3.44,0.34,0.04,0.21,.,0.26,0.34,0.44,0.22,1.08,0.97,1.68,1.68,1.51,1.57,5.31,5.17,5.37,5.22,5.21,5.32,5.22,4.17,4.2,4.19,4.12,10.46,10.61,10.61,13.42,17.12,17.15,17.07,17.03,17.17,17,22.41,20.01,19.83,15.44,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_ASHANp,3.64,0.08,0.22,0.28,0.24,.,0.16,0.26,0.28,1.26,1.15,1.91,1.9,1.74,1.79,5.54,5.4,5.60,5.45,5.43,5.55,5.45,4.15,4.19,4.18,4.11,10.69,10.83,10.84,13.65,17.34,17.38,17.3,17.26,17.4,17.23,22.6,20.2,20.01,15.62,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_LENTA,3.71,0.23,0.3,0.35,0.32,0.15,.,0.16,0.36,1.34,1.22,1.98,1.98,1.82,1.87,5.62,5.48,5.68,5.53,5.51,5.62,5.52,4.26,4.3,4.28,4.22,10.76,10.91,10.91,13.73,17.42,17.45,17.37,17.33,17.47,17.3,22.67,20.27,20.08,15.7,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaroslavl_Giperglobus,3.83,0.32,0.41,0.47,0.43,0.26,0.18,.,0.47,1.45,1.34,2.1,2.1,1.93,1.99,5.73,5.59,5.79,5.64,5.63,5.74,5.64,4.36,4.4,4.38,4.32,10.88,11.03,11.03,13.84,17.54,17.57,17.49,17.45,17.59,17.42,22.79,20.39,20.2,15.81,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
