# Data VRPwTW

set NODE := MoscowDepot Yaroslavl_LENTA Yaroslavl_7Continent Yaroslavl_ATAK Yaroslavl_ASHANn Yaroslavl_ASHANp Yaroslavl_LENTA
Yaroslavl_Giperglobus Yaroslavl_Magnit Kostroma_ASHAN Kostroma_7Continent MoscowDepotEND;
set VEHICLES:= 1 2 3 4 5;


param start := 'MoscowDepot';
param end := 'MoscowDepotEND';

param capacity :=
1 20000
2 20000
3 20000
4 20000
5 20000;



param travel_time:
		Kostroma_ASHAN Yaroslavl_LENTA Yaroslavl_LENTA Yaroslavl_7Continent Yaroslavl_ATAK Yaroslavl_ASHANn Yaroslavl_ASHANp Yaroslavl_LENTA Yaroslavl_Giperglobus Yaroslavl_Magnit Kostroma_ASHAN MoscowDepotEND :=
MoscowDepot	34	74	89	87	51	65	70	37	58	62	67	67	10000
Kostroma_ASHAN	.	58	96	87	63	72	90	44	88	92	54	79	34
Yaroslavl_LENTA		58	.	56	42	70	31	80	61	117	97	19	64	74
Yaroslavl_LENTA	96	56	.	43	42	27	38	68	80	52	61	27	89
Yaroslavl_7Continent	87	42	43	.	65	26	74	67	113	91	47	58	87
Yaroslavl_ATAK		63	70	42	65	.	43	27	28	63	43	75	16	51
Yaroslavl_ASHANn		72	31	27	26	43	.	51	44	90	68	36	35	65
Yaroslavl_ASHANp		90	80	38	74	27	51	.	54	49	21	84	18	70
Yaroslavl_LENTA		44	61	68	67	28	44	54	.	63	57	63	44	37
Yaroslavl_Giperglobus	88	117	80	113	63	90	49	63	.	30	118	59	58
Yaroslavl_Magnit	92	97	52	91	43	68	21	57	30	.	102	35	62
Kostroma_ASHAN		54	19	61	47	75	36	84	63	118	102	.	69	67
Kostroma_7Continent		79	64	27	58	16	35	18	44	59	35	69	.	67;


param:		demand	start_window	end_window	service_time :=
Aberdeen	0	0		300		15
Banchory 	9	0		150		15
Clova 		7	0		210		15
Cornhill 	5	0		210		15
Dufftown 	4	120		330		15
Fyvie 		8	0		210		15
Huntly 		8	120		270		15
Newbyth 	7	0		210		15
Newmill 	6	60		210		15
Peterhead 	6	0		90		15
Strichen 	6	0		135		15
Towie 		4	60		225		15
Turiff 		6	60		210		15
AberdeenEND	0	0		300		0;
